species_group,year,strata,biomass,cv
longnose_skate,1996,CGOA,20327.9,0.16825242017872535
longnose_skate,1996,EGOA,5619.9,0.18060538903538997
longnose_skate,1996,WGOA,277.90000000000003,0.6416279221338083
longnose_skate,1999,CGOA,29872.100000000002,0.17501878001358756
longnose_skate,1999,EGOA,7713.9,0.17319404608173647
longnose_skate,1999,WGOA,1747.3,0.5217818526119798
longnose_skate,2001,CGOA,23170.5,0.15873234628084648
longnose_skate,2001,WGOA,104.1,0.7075424289991914
longnose_skate,2003,CGOA,25740.8,0.11562023187488861
longnose_skate,2003,EGOA,13080.5,0.15264189923238072
longnose_skate,2003,WGOA,781.7,0.4496499045189968
longnose_skate,2005,CGOA,29853.3,0.09426135856244669
longnose_skate,2005,EGOA,9797.199999999999,0.1818849444155962
longnose_skate,2005,WGOA,1719.4,0.36207135191987816
longnose_skate,2007,CGOA,26082.9,0.12143897034235543
longnose_skate,2007,EGOA,7759,0.24008027056372697
longnose_skate,2007,WGOA,627.7,0.46570602102511977
longnose_skate,2009,CGOA,25533.8,0.10180575991843314
longnose_skate,2009,EGOA,9904.2,0.18562808898301744
longnose_skate,2009,WGOA,1214.4,0.6363897784658257
longnose_skate,2011,CGOA,23608.5,0.14276094323107294
longnose_skate,2011,EGOA,9362.199999999999,0.18887570504837312
longnose_skate,2011,WGOA,940.5,0.43305951913649227
longnose_skate,2013,CGOA,28274.4,0.13979135468309103
longnose_skate,2013,EGOA,14082.699999999999,0.17246598478866954
longnose_skate,2013,WGOA,2127,0.3253616178821787
longnose_skate,2015,CGOA,34242.6,0.10111795068074408
longnose_skate,2015,EGOA,6974.9,0.21766733743259165
longnose_skate,2015,WGOA,708.3000000000001,0.43175289947570905
longnose_skate,2017,CGOA,39218.8,0.20251937415923024
longnose_skate,2017,EGOA,8149.700000000001,0.22302158982883624
longnose_skate,2017,WGOA,2132.8,0.3123533758813337
longnose_skate,2019,CGOA,22708.8,0.13287027945015673
longnose_skate,2019,EGOA,7349.5,0.18149880930714324
longnose_skate,2019,WGOA,2220.8,0.3847274563285073
longnose_skate,2021,CGOA,28069.5,0.12154048816244617
longnose_skate,2021,EGOA,6499.5999999999995,0.2635349377668993
longnose_skate,2021,WGOA,2036.6,0.34470065217804735
other_skates,1984,CGOA,3619,0.20210208028677296
other_skates,1984,EGOA,286.5,0.25730148633120054
other_skates,1984,WGOA,728,0.27619863270683165
other_skates,1987,CGOA,2555.7,0.2660528575748961
other_skates,1987,EGOA,266.3,0.523665139571338
other_skates,1987,WGOA,391.3,0.33800304913683243
other_skates,1990,CGOA,13137.5,0.26157543457048227
other_skates,1990,EGOA,617.4,0.27554695330030693
other_skates,1990,WGOA,166.5,0.4486371432111736
other_skates,1993,CGOA,167.2,0.4271359482498168
other_skates,1993,EGOA,989.0999999999999,0.4073275871033522
other_skates,1993,WGOA,292.4,0.7708773730600922
other_skates,1996,CGOA,7982.7,0.22517378313461095
other_skates,1996,EGOA,1468.4,0.2650577017960325
other_skates,1996,WGOA,294.8,0.39511838881833183
other_skates,1999,CGOA,14245.2,0.13719333435153935
other_skates,1999,EGOA,1678.8,0.3174345840666023
other_skates,1999,WGOA,2955.2,0.2680871697940455
other_skates,2001,CGOA,9581.8,0.17383693952250515
other_skates,2001,WGOA,3241.4,0.3604251811934539
other_skates,2003,CGOA,15877.4,0.14113392458017612
other_skates,2003,EGOA,981.8,0.3886873667439361
other_skates,2003,WGOA,4878.4000000000005,0.21466338192407813
other_skates,2005,CGOA,26933.3,0.12061298370464817
other_skates,2005,EGOA,778.5,0.48343992958594506
other_skates,2005,WGOA,2286,0.32726193899154343
other_skates,2007,CGOA,27606.5,0.11761607370952087
other_skates,2007,EGOA,844.4,0.3302962204724986
other_skates,2007,WGOA,3822.6,0.28338959693861326
other_skates,2009,CGOA,20522.9,0.14436559319841502
other_skates,2009,EGOA,767.3000000000001,0.3459498504536151
other_skates,2009,WGOA,6108.6,0.23700180894335224
other_skates,2011,CGOA,17546.3,0.1145078807021491
other_skates,2011,EGOA,1854.5,0.3663512710429852
other_skates,2011,WGOA,1963.3999999999999,0.2745509288517017
other_skates,2013,CGOA,24452.1,0.1301871767328759
other_skates,2013,EGOA,2122.2999999999997,0.458233616012546
other_skates,2013,WGOA,4130.4,0.2772959235571344
other_skates,2015,CGOA,20011.5,0.12923207458685002
other_skates,2015,EGOA,1278.5,0.39678711005450173
other_skates,2015,WGOA,3895.7,0.17825837347917084
other_skates,2017,CGOA,11900.8,0.15080448932177323
other_skates,2017,EGOA,1462,0.5480681143413064
other_skates,2017,WGOA,4456.7,0.27320889011637084
other_skates,2019,CGOA,8122.1,0.17324887035575645
other_skates,2019,EGOA,549.5,0.4006068410119076
other_skates,2019,WGOA,2064.7,0.31824404053396305
other_skates,2021,CGOA,11144.7,0.20497976348546854
other_skates,2021,EGOA,561.2,0.461239093054311
other_skates,2021,WGOA,1624.5,0.34397015520416613
