species_group,year,strata,cpue,cv
big_skate,2012,WGOA,135.346121594,0.29601988436685217
big_skate,2013,CGOA,834.2649311419999,0.14422619632233244
big_skate,2013,EGOA,347.53259064,0.17851250689708753
big_skate,2013,WGOA,160.036043348,0.26691928064857046
big_skate,2014,CGOA,761.657655576,0.17008110648104685
big_skate,2014,EGOA,870.666478699,0.1963037975947725
big_skate,2014,WGOA,123.55624778,0.31098630128232924
big_skate,2015,CGOA,984.49042302,0.17121070495873125
big_skate,2015,EGOA,740.227060621,0.1607690208976972
big_skate,2015,WGOA,223.86767969,0.20672949558608375
big_skate,2016,CGOA,1400.0489203299999,0.19915471950581198
big_skate,2016,EGOA,588.9153418139999,0.18345903683072753
big_skate,2016,WGOA,447.070261132,0.2713887782500495
big_skate,2017,CGOA,841.78454737,0.12583494177919682
big_skate,2017,EGOA,728.0271899310001,0.16616673349435734
big_skate,2017,WGOA,285.42883682,0.24243661441483152
big_skate,2018,CGOA,774.999098363,0.18932312015251954
big_skate,2018,EGOA,721.433353693,0.15538826461273103
big_skate,2018,WGOA,211.40908559,0.23058172483949238
big_skate,2019,CGOA,952.7069627799999,0.13367449049995722
big_skate,2019,EGOA,497.201222754,0.18010944238714258
big_skate,2019,WGOA,282.68221375,0.2573051680017077
big_skate,2020,CGOA,701.463211641,0.14117391756418954
big_skate,2020,EGOA,507.35046277,0.14734499553190444
big_skate,2021,CGOA,849.09843169,0.11861792814957206
big_skate,2021,EGOA,890.4142177489999,0.18492701869445002
big_skate,2021,WGOA,610.93046259,0.35888961516673296
longnose_skate,1998,CGOA,746.00968254,0.1417061409615251
longnose_skate,1998,EGOA,662.412587537,0.18935631494325422
longnose_skate,1998,WGOA,0,NA
longnose_skate,1999,CGOA,640.32283359,0.1000228469411362
longnose_skate,1999,EGOA,1208.23452178,0.08570422360106246
longnose_skate,1999,WGOA,77.29249926,0.29911428951443675
longnose_skate,2000,CGOA,1364.4073974,0.07626961817901327
longnose_skate,2000,EGOA,1066.73968643,0.0978311405149164
longnose_skate,2000,WGOA,53.2146874,0.2937892156707361
longnose_skate,2001,CGOA,1136.0903567,0.10909440335036186
longnose_skate,2001,EGOA,1502.99218584,0.09453393101923323
longnose_skate,2001,WGOA,13.251408526,0.598806672521775
longnose_skate,2002,CGOA,1260.13548266,0.09276146011725091
longnose_skate,2002,EGOA,2009.375754638,0.07792975267101239
longnose_skate,2002,WGOA,0,NA
longnose_skate,2003,CGOA,1434.45827876,0.08449910392091811
longnose_skate,2003,EGOA,1388.516221687,0.10176330309499851
longnose_skate,2003,WGOA,53.052037420000005,0.3794590010241562
longnose_skate,2004,CGOA,1343.7567466,0.08492219472166576
longnose_skate,2004,EGOA,1836.879594111,0.11176937497869156
longnose_skate,2004,WGOA,71.14126712,0.2857038701172793
longnose_skate,2005,CGOA,1357.8945522,0.0679805169522374
longnose_skate,2005,EGOA,1429.0166686300001,0.08219329626384707
longnose_skate,2005,WGOA,38.10761632,0.34618524385303084
longnose_skate,2006,CGOA,1473.52753684,0.07165793235368989
longnose_skate,2006,EGOA,1662.748524161,0.08385982115154124
longnose_skate,2006,WGOA,84.32453797,0.2784349906813806
longnose_skate,2007,CGOA,1742.80328926,0.06326359782569979
longnose_skate,2007,EGOA,1459.42273136,0.09072066628720357
longnose_skate,2007,WGOA,86.60057676,0.2860518906643721
longnose_skate,2008,CGOA,2131.50639257,0.06138651717524104
longnose_skate,2008,EGOA,1899.0887767699999,0.08716948050061027
longnose_skate,2008,WGOA,104.55114302999999,0.24463655169171655
longnose_skate,2009,CGOA,2284.018128508,0.0681537135376881
longnose_skate,2009,EGOA,2657.06483921,0.0769099949959384
longnose_skate,2009,WGOA,60.793598402,0.21986465510973893
longnose_skate,2010,CGOA,2149.60049701,0.05856271897532205
longnose_skate,2010,EGOA,1506.2865060699999,0.08825964478746566
longnose_skate,2010,WGOA,238.59601591,0.22364641353089187
longnose_skate,2011,CGOA,2144.60473948,0.06704852057797336
longnose_skate,2011,EGOA,2148.3104598,0.08303822245055424
longnose_skate,2011,WGOA,227.65797842,0.1547378069347638
longnose_skate,2012,CGOA,2895.751990988,0.0703937195471958
longnose_skate,2012,EGOA,2248.53174149,0.10155434321160753
longnose_skate,2012,WGOA,168.54316247,0.22748073684369347
longnose_skate,2013,CGOA,2309.438264642,0.07082112070901853
longnose_skate,2013,EGOA,2407.81870308,0.08715389310527677
longnose_skate,2013,WGOA,152.87458152,0.19249627747435877
longnose_skate,2014,CGOA,2133.5790388,0.07174599294234608
longnose_skate,2014,EGOA,2251.4336845,0.07300795893885255
longnose_skate,2014,WGOA,149.58438979500002,0.1698227140243903
longnose_skate,2015,CGOA,1724.169682833,0.06438549896509403
longnose_skate,2015,EGOA,2343.89192123,0.0739025384314576
longnose_skate,2015,WGOA,320.86990586,0.16426399456022767
longnose_skate,2016,CGOA,2462.56494076,0.06507119776539862
longnose_skate,2016,EGOA,1394.495394,0.09429232442646539
longnose_skate,2016,WGOA,159.16961450000002,0.19723824764288508
longnose_skate,2017,CGOA,1651.9660169499998,0.07559757799974783
longnose_skate,2017,EGOA,1871.01573208,0.09485326381851816
longnose_skate,2017,WGOA,154.361703198,0.1760745391830316
longnose_skate,2018,CGOA,1313.374603872,0.07626435024442724
longnose_skate,2018,EGOA,1655.667996978,0.08991900199719924
longnose_skate,2018,WGOA,208.69738672,0.2206216759217597
longnose_skate,2019,CGOA,1535.589956898,0.07417139100591671
longnose_skate,2019,EGOA,872.30947385,0.10899924769520745
longnose_skate,2019,WGOA,182.14565279,0.1664998204153525
longnose_skate,2020,CGOA,2451.65853307,0.07145269286642635
longnose_skate,2020,EGOA,1382.17431411,0.09126522788859256
longnose_skate,2021,CGOA,2726.71289442,0.06429091712794921
longnose_skate,2021,EGOA,2131.37015009,0.07333914435280622
longnose_skate,2021,WGOA,94.244448542,0.28540809110367354
other_skates,1998,CGOA,16.208137473,0.47985836871848553
other_skates,1998,EGOA,0,NA
other_skates,1998,WGOA,0,NA
other_skates,1999,CGOA,347.39021683,0.1567512717003048
other_skates,1999,EGOA,13.296468105999999,0.5411045459891302
other_skates,1999,WGOA,87.494815016,0.2301351770369953
other_skates,2000,CGOA,643.916268898,0.1317685514482163
other_skates,2000,EGOA,26.115524628,0.45060290028869965
other_skates,2000,WGOA,388.30827202,0.19539350685069817
other_skates,2001,CGOA,62.187247330000005,0.3397923491884415
other_skates,2001,EGOA,63.548425459,0.3143566561254357
other_skates,2001,WGOA,75.419554053,0.44318103916337265
other_skates,2002,CGOA,228.70975232,0.22396283677044668
other_skates,2002,EGOA,27.261626457,0.5074162789791998
other_skates,2002,WGOA,78.7546909,0.5122022582573049
other_skates,2003,CGOA,464.532086327,0.13061473957804953
other_skates,2003,EGOA,67.463365798,0.3089798217623419
other_skates,2003,WGOA,72.56006889,0.33550454164855653
other_skates,2004,CGOA,538.147996767,0.14910965601503387
other_skates,2004,EGOA,20.489999093999998,0.5022956953246012
other_skates,2004,WGOA,544.91215506,0.15437690748244387
other_skates,2005,CGOA,700.2968877999999,0.10220164335107482
other_skates,2005,EGOA,41.111763226,0.33988822863049845
other_skates,2005,WGOA,518.756896298,0.1406723565295581
other_skates,2006,CGOA,712.06941598,0.11341875857870524
other_skates,2006,EGOA,61.59015506,0.34405533131224986
other_skates,2006,WGOA,468.80591105999997,0.14473653702218567
other_skates,2007,CGOA,892.7386235,0.09979297566695985
other_skates,2007,EGOA,63.711918386,0.31858628042011067
other_skates,2007,WGOA,446.72754604,0.16010460825276493
other_skates,2008,CGOA,1654.0370779,0.11541513240608024
other_skates,2008,EGOA,169.9141455,0.24229709376992536
other_skates,2008,WGOA,500.33775019999996,0.13743159056243026
other_skates,2009,CGOA,1800.0944885000001,0.0902891902176256
other_skates,2009,EGOA,152.26783568000002,0.29486905609746894
other_skates,2009,WGOA,554.59690077,0.10690851490771199
other_skates,2010,CGOA,1963.32319813,0.09337147604727221
other_skates,2010,EGOA,65.19508333,0.2627234460273841
other_skates,2010,WGOA,833.95147335,0.13346489149089277
other_skates,2011,CGOA,1286.29188264,0.0977375803410563
other_skates,2011,EGOA,59.048932893999996,0.2783433616320569
other_skates,2011,WGOA,602.3085707299999,0.10715808964800877
other_skates,2012,CGOA,1833.47693788,0.11036318525463928
other_skates,2012,EGOA,131.420247436,0.28234190189036446
other_skates,2012,WGOA,582.1682206500001,0.1255809110516396
other_skates,2013,CGOA,1287.77442898,0.10979194093728499
other_skates,2013,EGOA,193.455428191,0.23525989582664536
other_skates,2013,WGOA,782.5506500399999,0.12575105787391166
other_skates,2014,CGOA,1597.85489862,0.11580148653866866
other_skates,2014,EGOA,78.684895548,0.3683556548603601
other_skates,2014,WGOA,542.217694746,0.11686896023145962
other_skates,2015,CGOA,737.5995522,0.12436981937646394
other_skates,2015,EGOA,67.1385786,0.31800696450459603
other_skates,2015,WGOA,482.60431493000004,0.14061378378171038
other_skates,2016,CGOA,565.57669788,0.10191858978723985
other_skates,2016,EGOA,29.683463558,0.3390493316275327
other_skates,2016,WGOA,278.4952794,0.18154189771296747
other_skates,2017,CGOA,317.336591698,0.14861347943179562
other_skates,2017,EGOA,46.187464291,0.3200385058836925
other_skates,2017,WGOA,216.117554543,0.1652635346409163
other_skates,2018,CGOA,385.705229498,0.12131393640060252
other_skates,2018,EGOA,29.807902615,0.3640019117749856
other_skates,2018,WGOA,240.9142582,0.18985202733984052
other_skates,2019,CGOA,313.59492629,0.1187155691740699
other_skates,2019,EGOA,29.041758647,0.3721277820240023
other_skates,2019,WGOA,170.730338329,0.24990541733211477
other_skates,2020,CGOA,154.79520179,0.17612034072135024
other_skates,2020,EGOA,36.398621413,0.25896928167876276
other_skates,2021,CGOA,251.6599352,0.15294872873029436
other_skates,2021,EGOA,70.609337041,0.254932329830426
other_skates,2021,WGOA,69.17123065,0.2982531734475484
