Survey,Year,Species Code,Common Name,Scientific Name,Haul Count,Catch Count,Mean Weight CPUE,Var Weight CPUE,Mean Number CPUE,Var Number CPUE,Area Biomass,Area Biomass Var,Min Area Biomass,Max Area Biomass,Area Population,Area Population Var,Min Area Population,Max Area Population,AKFIN Load Date,Summary Area Depth,NMFS Reporting Area,Minimum Depth (m),Maximum Depth (m)
GOA,1984,420,big skate,Beringraja binoculata,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,954,Southeastern,301,500
GOA,1984,420,big skate,Beringraja binoculata,11,4,349.5087859,56073.73177,86.39995813,2383.47558,5823.1,15566276.32,0,15154,1439852,6.61662E+11,0,3363604,9/29/2021 10:30,941,Yakutat,10,100
GOA,1984,420,big skate,Beringraja binoculata,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,924,Chirikof,301,500
GOA,1984,420,big skate,Beringraja binoculata,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,915,Shumagin,501,700
GOA,1984,420,big skate,Beringraja binoculata,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,935,Kodiak,501,700
GOA,1984,420,big skate,Beringraja binoculata,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,914,Shumagin,301,500
GOA,1984,420,big skate,Beringraja binoculata,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,934,Kodiak,301,500
GOA,1984,420,big skate,Beringraja binoculata,23,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,913,Shumagin,201,300
GOA,1984,420,big skate,Beringraja binoculata,33,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,943,Yakutat,201,300
GOA,1984,420,big skate,Beringraja binoculata,37,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,952,Southeastern,101,200
GOA,1984,420,big skate,Beringraja binoculata,39,1,3.630363815,13.24836712,0.244993877,0.059125766,18.4,338.1773911,0,57,1229,1509242.383,0,3792,9/29/2021 10:30,953,Southeastern,201,300
GOA,1984,420,big skate,Beringraja binoculata,41,2,0.519500177,0.241510057,1.722225562,1.725986443,6.2,31.88585238,0,18,19957,227876841.5,0,51190,9/29/2021 10:30,933,Kodiak,201,300
GOA,1984,420,big skate,Beringraja binoculata,43,4,103.6822403,3615.088392,5.813146528,9.421506267,1197,481936.0339,0,2622,66814,1256003414,0,139537,9/29/2021 10:30,923,Chirikof,201,300
GOA,1984,420,big skate,Beringraja binoculata,44,12,279.5786642,12534.91577,16.58216676,31.17639534,7278.9,8496399.325,1199,13359,432081,21131941312,128843,735319,9/29/2021 10:30,921,Chirikof,10,100
GOA,1984,420,big skate,Beringraja binoculata,55,8,24.65355294,132.5283006,5.751575908,6.419137035,724.8,114408.8062,0,1455,168727,5541501714,7934,329520,9/29/2021 10:30,942,Yakutat,101,200
GOA,1984,420,big skate,Beringraja binoculata,73,14,166.0169221,4103.667249,10.18421122,15.02265576,6393.9,6087656.222,1301,11486,393118,22285618750,84996,701240,9/29/2021 10:30,931,Kodiak,10,100
GOA,1984,420,big skate,Beringraja binoculata,82,6,21.82179908,103.2981805,1.523709856,0.39844357,320.2,22252.80881,19,622,22636,85833927.99,3912,41360,9/29/2021 10:30,912,Shumagin,101,200
GOA,1984,420,big skate,Beringraja binoculata,85,5,12.33813357,53.21491815,0.977738887,0.2265235,293.8,30268.30964,0,645,23311,128845137.1,371,46251,9/29/2021 10:30,922,Chirikof,101,200
GOA,1984,420,big skate,Beringraja binoculata,100,7,73.11310434,2357.902616,3.562249219,2.790671223,3018.5,4019625.278,0,7189,147672,4757385870,4206,291138,9/29/2021 10:30,911,Shumagin,10,100
GOA,1984,420,big skate,Beringraja binoculata,132,7,56.88800357,822.3387174,2.607947753,1.811552521,2465.4,1544058.096,0,4951,112125,3401447941,0,228769,9/29/2021 10:30,932,Kodiak,101,200
GOA,1984,435,Bering skate,Bathyraja interrupta,1,0,0,,0,,0,,,,0,,,,9/29/2021 10:30,946,Yakutat,701,1000
GOA,1984,435,Bering skate,Bathyraja interrupta,1,1,122,,203,,127,,,,209307,,,,9/29/2021 10:30,955,Southeastern,501,700
GOA,1984,435,Bering skate,Bathyraja interrupta,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,945,Yakutat,501,700
GOA,1984,435,Bering skate,Bathyraja interrupta,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,916,Shumagin,701,1000
GOA,1984,435,Bering skate,Bathyraja interrupta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,926,Chirikof,701,1000
GOA,1984,435,Bering skate,Bathyraja interrupta,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,936,Kodiak,701,1000
GOA,1984,435,Bering skate,Bathyraja interrupta,9,1,0.5,0.251054106,2.2,4.872093499,1,0.957778771,0,3,4311,18587179.47,0,14063,9/29/2021 10:30,925,Chirikof,501,700
GOA,1984,435,Bering skate,Bathyraja interrupta,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,944,Yakutat,301,500
GOA,1984,435,Bering skate,Bathyraja interrupta,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,954,Southeastern,301,500
GOA,1984,435,Bering skate,Bathyraja interrupta,11,1,2.377610788,5.585331986,1.732834981,3.015315372,39.4,1550.508915,0,133,28932,837062752.8,0,97356,9/29/2021 10:30,941,Yakutat,10,100
GOA,1984,435,Bering skate,Bathyraja interrupta,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,924,Chirikof,301,500
GOA,1984,435,Bering skate,Bathyraja interrupta,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,915,Shumagin,501,700
GOA,1984,435,Bering skate,Bathyraja interrupta,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,935,Kodiak,501,700
GOA,1984,435,Bering skate,Bathyraja interrupta,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,914,Shumagin,301,500
GOA,1984,435,Bering skate,Bathyraja interrupta,18,2,4.8,13.32376443,2,2.062208573,14,112.9641872,0,36,5861,17484226.51,0,14646,9/29/2021 10:30,934,Kodiak,301,500
GOA,1984,435,Bering skate,Bathyraja interrupta,23,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,913,Shumagin,201,300
GOA,1984,435,Bering skate,Bathyraja interrupta,33,1,1.399015832,1.900972731,1.234425734,1.478256434,7.1,50.81191249,0,22,6286,39512947.95,0,19612,9/29/2021 10:30,943,Yakutat,201,300
GOA,1984,435,Bering skate,Bathyraja interrupta,37,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,952,Southeastern,101,200
GOA,1984,435,Bering skate,Bathyraja interrupta,39,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,953,Southeastern,201,300
GOA,1984,435,Bering skate,Bathyraja interrupta,41,2,1.741955759,1.580925864,1.243287343,0.752394188,20.3,208.724926,0,50,14057,99336360.36,0,34509,9/29/2021 10:30,933,Kodiak,201,300
GOA,1984,435,Bering skate,Bathyraja interrupta,43,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,923,Chirikof,201,300
GOA,1984,435,Bering skate,Bathyraja interrupta,44,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,921,Chirikof,10,100
GOA,1984,435,Bering skate,Bathyraja interrupta,55,3,0.45001259,0.070456476,1.27503567,0.470904528,13.1,60.82354671,0,30,37153,406521660.5,0,80704,9/29/2021 10:30,942,Yakutat,101,200
GOA,1984,435,Bering skate,Bathyraja interrupta,73,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,931,Kodiak,10,100
GOA,1984,435,Bering skate,Bathyraja interrupta,82,2,2.055476175,2.979694037,0.777747742,0.350963843,30.3,641.8947692,0,82,11783,75605700.57,0,29356,9/29/2021 10:30,912,Shumagin,101,200
GOA,1984,435,Bering skate,Bathyraja interrupta,85,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,922,Chirikof,101,200
GOA,1984,435,Bering skate,Bathyraja interrupta,100,1,0.363269836,0.126681933,0.322906521,0.098511872,14.7,215.9605301,0,46,12959,167937728.9,0,40575,9/29/2021 10:30,911,Shumagin,10,100
GOA,1984,435,Bering skate,Bathyraja interrupta,132,9,4.487253732,4.726839155,2.345618245,0.736574001,194.4,8875.313922,4,385,101183,1383022623,26024,176342,9/29/2021 10:30,932,Kodiak,101,200
GOA,1984,440,longnose skate,Raja rhina,1,0,0,,0,,0,,,,0,,,,9/29/2021 10:30,946,Yakutat,701,1000
GOA,1984,440,longnose skate,Raja rhina,1,0,0,,0,,0,,,,0,,,,9/29/2021 10:30,955,Southeastern,501,700
GOA,1984,440,longnose skate,Raja rhina,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,945,Yakutat,501,700
GOA,1984,440,longnose skate,Raja rhina,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,916,Shumagin,701,1000
GOA,1984,440,longnose skate,Raja rhina,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,926,Chirikof,701,1000
GOA,1984,440,longnose skate,Raja rhina,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,936,Kodiak,701,1000
GOA,1984,440,longnose skate,Raja rhina,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,925,Chirikof,501,700
GOA,1984,440,longnose skate,Raja rhina,11,1,12.21897173,149.2568012,1.60110664,2.510225422,32.1,1030.646711,0,111,4163,17333585.84,0,14351,9/29/2021 10:30,944,Yakutat,301,500
GOA,1984,440,longnose skate,Raja rhina,11,1,22.63860667,510.9127885,3.534931939,12.6706625,70.5,4963.828354,0,230,11095,123103189.4,0,36192,9/29/2021 10:30,954,Southeastern,301,500
GOA,1984,440,longnose skate,Raja rhina,11,4,243.1805577,28513.54303,16.09104275,91.09094901,4051.4,7915465.505,0,10539,268372,25287185953,0,635071,9/29/2021 10:30,941,Yakutat,10,100
GOA,1984,440,longnose skate,Raja rhina,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,924,Chirikof,301,500
GOA,1984,440,longnose skate,Raja rhina,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,915,Shumagin,501,700
GOA,1984,440,longnose skate,Raja rhina,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,935,Kodiak,501,700
GOA,1984,440,longnose skate,Raja rhina,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,914,Shumagin,301,500
GOA,1984,440,longnose skate,Raja rhina,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,934,Kodiak,301,500
GOA,1984,440,longnose skate,Raja rhina,23,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,913,Shumagin,201,300
GOA,1984,440,longnose skate,Raja rhina,33,3,6.200984168,21.81932781,2.065082182,1.370643152,32,583.2181373,0,83,10641,36636506.53,0,23310,9/29/2021 10:30,943,Yakutat,201,300
GOA,1984,440,longnose skate,Raja rhina,37,1,8.761874794,76.23928875,0.559268604,0.330200272,96.8,9366.764049,0,296,6369,40568427.27,0,19490,9/29/2021 10:30,952,Southeastern,101,200
GOA,1984,440,longnose skate,Raja rhina,39,5,35.26264823,344.1009713,2.889987754,1.974689296,178.2,8783.510277,0,374,14554,50405855.17,0,29414,9/29/2021 10:30,953,Southeastern,201,300
GOA,1984,440,longnose skate,Raja rhina,41,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,933,Kodiak,201,300
GOA,1984,440,longnose skate,Raja rhina,43,1,1.561740858,2.395390795,0.694107048,0.465682884,17.9,319.3352455,0,55,7879,62081293.13,0,24047,9/29/2021 10:30,923,Chirikof,201,300
GOA,1984,440,longnose skate,Raja rhina,44,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,921,Chirikof,10,100
GOA,1984,440,longnose skate,Raja rhina,55,13,76.92491393,1111.921968,8.749530012,11.57140467,2260.8,959898.1077,0,6477,257189,9989342566,0,687260,9/29/2021 10:30,942,Yakutat,101,200
GOA,1984,440,longnose skate,Raja rhina,73,2,47.64686835,2012.877572,5.184743284,24.8936862,1835.4,2986038.081,0,7334,199891,36928969752,0,811373,9/29/2021 10:30,931,Kodiak,10,100
GOA,1984,440,longnose skate,Raja rhina,82,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,912,Shumagin,101,200
GOA,1984,440,longnose skate,Raja rhina,85,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,922,Chirikof,101,200
GOA,1984,440,longnose skate,Raja rhina,100,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,911,Shumagin,10,100
GOA,1984,440,longnose skate,Raja rhina,132,4,9.854972395,36.07382957,0.874249078,0.180074752,427,67733.75426,0,965,37433,338116001,0,75478,9/29/2021 10:30,932,Kodiak,101,200
GOA,1984,455,mud skate,Bathyraja taranetzi,1,0,0,,0,,0,,,,0,,,,9/29/2021 10:30,946,Yakutat,701,1000
GOA,1984,455,mud skate,Bathyraja taranetzi,1,0,0,,0,,0,,,,0,,,,9/29/2021 10:30,955,Southeastern,501,700
GOA,1984,455,mud skate,Bathyraja taranetzi,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,945,Yakutat,501,700
GOA,1984,455,mud skate,Bathyraja taranetzi,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,916,Shumagin,701,1000
GOA,1984,455,mud skate,Bathyraja taranetzi,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,926,Chirikof,701,1000
GOA,1984,455,mud skate,Bathyraja taranetzi,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,936,Kodiak,701,1000
GOA,1984,455,mud skate,Bathyraja taranetzi,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,925,Chirikof,501,700
GOA,1984,455,mud skate,Bathyraja taranetzi,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,941,Yakutat,10,100
GOA,1984,455,mud skate,Bathyraja taranetzi,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,944,Yakutat,301,500
GOA,1984,455,mud skate,Bathyraja taranetzi,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,954,Southeastern,301,500
GOA,1984,455,mud skate,Bathyraja taranetzi,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,924,Chirikof,301,500
GOA,1984,455,mud skate,Bathyraja taranetzi,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,915,Shumagin,501,700
GOA,1984,455,mud skate,Bathyraja taranetzi,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,935,Kodiak,501,700
GOA,1984,455,mud skate,Bathyraja taranetzi,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,914,Shumagin,301,500
GOA,1984,455,mud skate,Bathyraja taranetzi,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,934,Kodiak,301,500
GOA,1984,455,mud skate,Bathyraja taranetzi,23,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,913,Shumagin,201,300
GOA,1984,455,mud skate,Bathyraja taranetzi,33,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,943,Yakutat,201,300
GOA,1984,455,mud skate,Bathyraja taranetzi,37,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,952,Southeastern,101,200
GOA,1984,455,mud skate,Bathyraja taranetzi,39,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,953,Southeastern,201,300
GOA,1984,455,mud skate,Bathyraja taranetzi,41,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,933,Kodiak,201,300
GOA,1984,455,mud skate,Bathyraja taranetzi,43,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,923,Chirikof,201,300
GOA,1984,455,mud skate,Bathyraja taranetzi,44,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,921,Chirikof,10,100
GOA,1984,455,mud skate,Bathyraja taranetzi,55,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,942,Yakutat,101,200
GOA,1984,455,mud skate,Bathyraja taranetzi,73,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,931,Kodiak,10,100
GOA,1984,455,mud skate,Bathyraja taranetzi,82,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,912,Shumagin,101,200
GOA,1984,455,mud skate,Bathyraja taranetzi,85,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,922,Chirikof,101,200
GOA,1984,455,mud skate,Bathyraja taranetzi,100,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,911,Shumagin,10,100
GOA,1984,455,mud skate,Bathyraja taranetzi,132,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,932,Kodiak,101,200
GOA,1984,460,roughtail skate,Bathyraja trachura,1,0,0,,0,,0,,,,0,,,,9/29/2021 10:30,946,Yakutat,701,1000
GOA,1984,460,roughtail skate,Bathyraja trachura,1,0,0,,0,,0,,,,0,,,,9/29/2021 10:30,955,Southeastern,501,700
GOA,1984,460,roughtail skate,Bathyraja trachura,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,945,Yakutat,501,700
GOA,1984,460,roughtail skate,Bathyraja trachura,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,916,Shumagin,701,1000
GOA,1984,460,roughtail skate,Bathyraja trachura,6,1,1.6,2.517621885,2.3,5.444684008,4.9,23.65959538,0,17,7153,51166945.02,0,24657,9/29/2021 10:30,926,Chirikof,701,1000
GOA,1984,460,roughtail skate,Bathyraja trachura,6,1,7.4,54.39042257,2.1,4.457848057,25.8,663.9481669,0,89,7377,54417301.89,0,25428,9/29/2021 10:30,936,Kodiak,701,1000
GOA,1984,460,roughtail skate,Bathyraja trachura,9,1,6.8,46.8539311,2.7,7.526705693,13.4,178.7491202,0,44,5359,28714602.78,0,17480,9/29/2021 10:30,925,Chirikof,501,700
GOA,1984,460,roughtail skate,Bathyraja trachura,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,941,Yakutat,10,100
GOA,1984,460,roughtail skate,Bathyraja trachura,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,944,Yakutat,301,500
GOA,1984,460,roughtail skate,Bathyraja trachura,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,954,Southeastern,301,500
GOA,1984,460,roughtail skate,Bathyraja trachura,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,924,Chirikof,301,500
GOA,1984,460,roughtail skate,Bathyraja trachura,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,915,Shumagin,501,700
GOA,1984,460,roughtail skate,Bathyraja trachura,16,1,3.9,15.17168108,1.5,2.35161527,6.8,46.18941198,0,21,2676,7159373.175,0,8348,9/29/2021 10:30,935,Kodiak,501,700
GOA,1984,460,roughtail skate,Bathyraja trachura,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,914,Shumagin,301,500
GOA,1984,460,roughtail skate,Bathyraja trachura,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,934,Kodiak,301,500
GOA,1984,460,roughtail skate,Bathyraja trachura,23,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,913,Shumagin,201,300
GOA,1984,460,roughtail skate,Bathyraja trachura,33,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,943,Yakutat,201,300
GOA,1984,460,roughtail skate,Bathyraja trachura,37,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,952,Southeastern,101,200
GOA,1984,460,roughtail skate,Bathyraja trachura,39,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,953,Southeastern,201,300
GOA,1984,460,roughtail skate,Bathyraja trachura,41,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,933,Kodiak,201,300
GOA,1984,460,roughtail skate,Bathyraja trachura,43,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,923,Chirikof,201,300
GOA,1984,460,roughtail skate,Bathyraja trachura,44,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,921,Chirikof,10,100
GOA,1984,460,roughtail skate,Bathyraja trachura,55,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/2021 10:30,942,Yakutat,101,200
